# 气象站 星沙街道, 中国, WMO_ID=57687，选择从 06.06.2022 至 02.06.2023, 所有日期
# 编码: UTF-8
# 数据由web站点“Reliable Prognosis”提供，rp5.ru
# 使用数据时，请自觉指出网站名称
# 气象参数代码见地址 http://rp5.ru/archive.php?wmo_id=57687&lang=cn
#
"当地时间 星沙街道";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"02.06.2023 17:00";"30.6";"743.5";"753.7";"-1.0";"63";"从东北偏北方向吹来的风";"3";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.8";"31.7";"";"";"2500或更高，或无云。";"";"";"20.0";"22.8";"无降水";"12";"地表潮湿";"";"";"";
"02.06.2023 14:00";"31.4";"744.5";"754.7";"-0.8";"61";"从西北偏北方向吹来的风";"3";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.8";"31.4";"";"";"2500或更高，或无云。";"";"";"20.0";"23.0";"无降水";"12";"地表潮湿";"";"";"";
"02.06.2023 11:00";"29.8";"745.3";"755.5";"0.7";"66";"从西南偏西方向吹来的风";"1";"";"4";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.8";"29.8";"";"";"2500或更高，或无云。";"";"";"15.0";"22.8";"无降水";"12";"地表潮湿";"";"";"";
"02.06.2023 08:00";"25.9";"744.6";"754.9";"0.8";"78";"从东北偏东方向吹来的风";"2";"";"";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.8";"28.8";"";"";"2500或更高，或无云。";"";"";"11.0";"21.8";"无降水";"12";"地表潮湿";"";"";"";
"02.06.2023 05:00";"24.0";"743.8";"754.1";"0.0";"84";"从西方吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.6";"28.8";"";"";"2500或更高，或无云。";"";"";"11.0";"21.1";"无降水";"12";"地表潮湿";"";"";"";
"02.06.2023 02:00";"24.6";"743.8";"754.0";"0.2";"84";"从西北偏西方向吹来的风";"1";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"28.8";"";"";"2500或更高，或无云。";"";"";"13.0";"21.7";"无降水";"12";"地表潮湿";"";"";"";
"01.06.2023 23:00";"25.4";"743.6";"753.9";"";"79";"从西北方吹来的风";"2";"";"7";"";" ";"";"";"23.5";"28.8";"";"";"";"";"";"16.0";"21.5";"无降水";"6";"地表潮湿";"";"";"";
"01.06.2023 20:00";"25.9";"743.5";"753.7";"0.8";"81";"从西北偏西方向吹来的风";"2";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"28.8";"";"";"2500或更高，或无云。";"";"";"15.0";"22.4";"无降水";"12";"地表潮湿";"";"";"";
"01.06.2023 17:00";"27.9";"742.7";"753.0";"-1.1";"69";"从北方吹来的风";"4";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"28.8";"";"";"2500或更高，或无云。";"";"";"17.0";"21.7";"无降水";"12";"地表潮湿";"";"";"";
"01.06.2023 14:00";"28.1";"743.8";"754.1";"-1.1";"70";"从西北方吹来的风";"5";"";"7";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"29.1";"";"";"2500或更高，或无云。";"";"";"13.0";"22.1";"无降水";"12";"地表潮湿";"";"";"";
"01.06.2023 11:00";"25.7";"744.9";"755.2";"0.2";"78";"从西北偏北方向吹来的风";"5";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"";"";"";"2500或更高，或无云。";"";"";"13.0";"21.6";"无降水";"12";"地表潮湿";"";"";"";
"01.06.2023 08:00";"23.9";"744.7";"755.1";"0.9";"87";"从西北方吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"23.5";"";"";"";"2500或更高，或无云。";"";"";"14.0";"21.6";"无降水";"12";"地表潮湿";"";"";"";
"01.06.2023 05:00";"23.6";"743.8";"754.1";"-0.3";"88";"从西北偏西方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"23.5";"29.1";"";"";"2500或更高，或无云。";"";"";"10.0";"21.5";"无降水";"12";"地表潮湿";"";"";"";
